                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2755,                 3.2758,                 3.0076,                0.28066,                0.24028,                0.16485,                0.06252,                 2.4133,                 2.6406,                 1.9523,             0.00055387,             0.00055387,             0.00055387
                      2,                 2.1151,                 1.8556,                  1.593,                0.43588,                0.38164,                0.32914,                0.16396,                 1.9499,                 1.8992,                 1.4526,              0.0010986,              0.0010986,              0.0010986
                      3,                 1.8475,                 1.6118,                 1.3888,                0.42112,                0.41633,                0.32937,                0.17558,                 1.7182,                 1.6157,                 1.3005,              0.0016322,              0.0016322,              0.0016322
                      4,                 1.7048,                 1.4997,                 1.3057,                 0.4786,                0.47842,                0.42508,                0.24022,                  1.569,                 1.4883,                 1.2317,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6109,                 1.3882,                 1.2456,                0.49356,                0.50992,                0.45876,                0.25697,                 1.5315,                 1.4919,                 1.1844,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.5558,                 1.3224,                 1.2201,                0.57617,                0.54625,                0.53765,                0.31865,                  1.422,                  1.231,                 1.1603,               0.001601,               0.001601,               0.001601
                      7,                  1.523,                 1.2994,                 1.2002,                0.52955,                0.50412,                0.50372,                0.26096,                 1.6828,                 1.3497,                 1.2088,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.4733,                 1.2537,                 1.1772,                0.51764,                0.58428,                0.54725,                0.31934,                 1.4202,                 1.2282,                 1.1365,               0.001568,               0.001568,               0.001568
                      9,                 1.4408,                 1.2252,                 1.1677,                0.59621,                0.57478,                0.58535,                 0.3502,                 1.3515,                 1.1409,                 1.1101,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.4153,                 1.2053,                 1.1515,                0.53545,                0.58336,                0.54808,                0.33065,                 1.3226,                  1.215,                 1.1111,               0.001535,               0.001535,               0.001535
                     11,                 1.4022,                 1.1959,                 1.1505,                0.56396,                0.54303,                0.54416,                0.32772,                 1.3721,                 1.1537,                 1.1292,              0.0015185,              0.0015185,              0.0015185
                     12,                   1.39,                 1.1629,                 1.1399,                0.57027,                0.59494,                0.59796,                0.35272,                 1.3499,                 1.1156,                 1.0974,               0.001502,               0.001502,               0.001502
                     13,                 1.3547,                 1.1401,                 1.1323,                0.56935,                0.61079,                0.59318,                0.36634,                 1.2771,                  1.092,                 1.0893,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.3333,                 1.1284,                  1.121,                 0.5487,                0.59167,                0.56676,                0.35525,                 1.2397,                 1.1412,                 1.0792,               0.001469,               0.001469,               0.001469
                     15,                 1.3204,                 1.1142,                 1.1111,                0.62284,                 0.5955,                0.61123,                 0.3808,                 1.2387,                 1.0621,                 1.0684,              0.0014525,              0.0014525,              0.0014525
