                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1567,                  3.126,                 2.8978,                0.25349,                0.28249,                0.17076,                0.07035,                 2.3873,                 2.3855,                 1.7923,             0.00055423,             0.00055423,             0.00055423
                      2,                 2.1471,                 1.8254,                 1.5955,                0.44413,                0.43465,                0.36303,                 0.1708,                 1.8782,                 1.6476,                 1.4118,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.9244,                 1.6121,                 1.4234,                0.47176,                0.48879,                0.42831,                 0.1975,                 1.8411,                 1.5571,                  1.352,              0.0016326,              0.0016326,              0.0016326
                      4,                 1.8156,                 1.4998,                   1.35,                0.44461,                0.51595,                0.44069,                0.22581,                 1.6784,                  1.442,                 1.2481,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7317,                 1.4292,                 1.3029,                 0.4933,                0.52538,                0.45746,                0.24699,                 1.5876,                 1.3319,                 1.2356,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.6452,                 1.3601,                 1.2646,                0.48239,                  0.541,                0.47347,                0.24877,                 1.6281,                 1.4182,                 1.2464,               0.001601,               0.001601,               0.001601
                      7,                 1.6313,                 1.3244,                 1.2537,                0.50035,                 0.5685,                0.52238,                0.28436,                 1.5183,                 1.2802,                 1.1829,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.5864,                 1.2999,                 1.2357,                 0.5302,                0.57031,                0.52468,                 0.2902,                  1.483,                 1.2452,                 1.1719,               0.001568,               0.001568,               0.001568
                      9,                 1.5383,                 1.2557,                 1.2101,                0.57061,                0.55827,                0.55453,                0.29815,                 1.4899,                  1.194,                 1.1669,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.521,                   1.25,                    1.2,                0.57044,                0.54455,                0.51273,                0.29498,                 1.4364,                 1.2841,                 1.1469,               0.001535,               0.001535,               0.001535
                     11,                 1.5079,                  1.223,                 1.1946,                0.55784,                0.59117,                0.55563,                0.31332,                 1.4215,                  1.172,                 1.1422,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.4862,                 1.2084,                 1.1909,                0.49883,                0.59289,                0.51964,                0.28925,                 1.4343,                 1.2729,                 1.1399,               0.001502,               0.001502,               0.001502
                     13,                 1.4608,                  1.183,                 1.1708,                0.54128,                0.60193,                0.56229,                0.32432,                 1.3756,                 1.2201,                 1.1188,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.4565,                 1.1769,                 1.1667,                 0.5671,                0.59376,                 0.5673,                 0.3241,                 1.3874,                 1.1621,                 1.1168,               0.001469,               0.001469,               0.001469
                     15,                 1.4501,                 1.1634,                 1.1645,                0.59797,                0.60076,                0.59834,                0.34481,                 1.3663,                 1.0803,                 1.1064,              0.0014525,              0.0014525,              0.0014525
                     16,                   1.42,                 1.1465,                 1.1539,                0.62321,                0.59909,                0.60931,                0.35393,                 1.3437,                 1.0473,                 1.1028,               0.001436,               0.001436,               0.001436
                     17,                 1.4234,                 1.1486,                 1.1487,                0.60349,                0.60674,                0.59132,                 0.3408,                 1.3456,                 1.0793,                 1.0944,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.4105,                 1.1315,                 1.1379,                 0.6188,                0.59274,                0.59466,                0.34743,                 1.3621,                 1.0794,                  1.097,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.4121,                 1.1288,                 1.1311,                0.59154,                0.59903,                0.59432,                0.34688,                 1.3335,                 1.1081,                 1.0832,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.4125,                 1.1319,                 1.1275,                0.64055,                0.59809,                0.61987,                0.36649,                  1.339,                  1.049,                 1.0788,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.4072,                 1.1156,                 1.1194,                 0.6237,                0.60956,                0.61903,                0.36433,                 1.3372,                 1.0308,                 1.0712,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.3801,                 1.0943,                 1.1075,                0.63999,                0.61007,                0.62562,                 0.3704,                 1.3063,                 1.0336,                 1.0536,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.3686,                  1.089,                 1.1059,                0.64799,                0.61187,                0.63046,                0.36909,                 1.3254,                   1.02,                 1.0627,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.3662,                 1.0845,                 1.1072,                0.64661,                0.61338,                0.63552,                0.37814,                 1.3077,                0.99737,                 1.0617,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.3619,                 1.0632,                 1.0979,                0.63525,                0.61695,                0.63841,                0.37988,                 1.2925,                  1.003,                 1.0526,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.3491,                 1.0669,                 1.0991,                0.63073,                0.63496,                0.64168,                0.38664,                 1.2785,                 1.0053,                 1.0492,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.3482,                  1.069,                  1.093,                0.62499,                0.61757,                0.63393,                0.37696,                 1.2934,                 1.0246,                 1.0488,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.3409,                 1.0543,                 1.0896,                0.66628,                0.62972,                0.65325,                0.39251,                 1.2806,                0.95242,                 1.0438,              0.0012379,              0.0012379,              0.0012379
